jurisdiction1,Year1,crime_reporting_change,crimes_estimated,state_population,violent_crime_total,murder_manslaughter,rape_legacy,rape_revised,robbery,agg_assault,property_crime_total,burglary,larceny,vehicle_theft
     Connecticut,2015,0,0,3590886,7845,117,582,773,2892,4063,65066,10053,48675,6338
     Maine,2015,0,0,1329328,1729,23,354,474,311,921,24327,4684,18829,814
     Massachusetts,2015,0,0,6794422,26562,128,1608,2075,5288,19071,114871,21890,84912,8069
     New Hampshire,2015,0,0,1330608,2652,14,461,627,468,1543,23229,3467,18871,891
     Rhode Island,2015,0,0,1056298,2562,29,338,459,556,1518,20043,3947,14707,1389
     Vermont,2015,0,0,626042,739,10,121,136,101,492,8806,1968,6660,178
     New Jersey,2015,0,0,8958013,22879,363,1019,1373,9729,11414,145701,27960,105963,11778
     Pennsylvania,2015,0,0,12802503,40339,658,3122,4305,13003,22373,232085,39664,180287,12134
     Illinois,2015,0,0,12859995,49354,744,3549,4821,14910,28879,255729,46443,191634,17652
     Indiana,2015,0,0,6619680,25653,373,1789,2404,7111,15765,171847,34410,123918,13519
     Michigan,2015,0,0,9922576,41231,571,4163,6450,7796,26414,187101,40041,131296,15764
     Ohio,2015,0,0,11613423,33898,500,4154,5149,12554,15695,300525,69303,213993,17229
Wisconsin,2015,0,0,5771337,17647,240,1224,1780,5232,10395,113924,19554,83385,10985
     Iowa,2015,0,0,3123899,8936,72,851,1156,1047,6661,63957,14892,44723,4342
     Kansas,2015,0,0,2911641,11353,128,1251,1615,1818,7792,79199,15362,56880,6957
     Minnesota,2015,0,0,5489594,13319,133,1686,2321,3771,7094,121984,19299,94704,7981
     Missouri,2015,0,0,6083672,30261,502,1854,2553,6376,20830,173642,34006,122637,16999
     Nebraska,2015,0,0,1896190,5212,62,652,873,994,3283,42495,6422,32072,4001
     North Dakota,2015,0,0,756927,1812,21,276,345,148,1298,16020,2997,11440,1583
     South Dakota,2015,0,0,858469,3289,32,441,495,216,2546,16680,2960,12532,1188
     Delaware,2015,0,0,945934,4720,63,243,341,1235,3081,25455,4773,19501,1181
     Florida,2015,0,0,20271272,93626,1041,5430,7553,21137,63895,570270,109268,420341,40661
     Georgia,2015,1,0,10214860,38643,615,2296,3224,12247,22557,308723,66374,215867,26482
     Maryland,2015,0,0,6006401,27462,516,1184,1666,9863,15417,139048,25678,100219,13151
     North Carolina,2015,0,0,10042802,34852,517,1939,2684,8825,22826,276183,74841,187907,13435
     South Carolina,2015,0,0,4896146,24700,399,1707,2297,3931,18073,161245,34551,113724,12970
     Virginia,2015,0,0,8382993,16399,383,1493,2340,4441,9235,156470,21340,127019,8111
